asin,title,count(reviews.asin)
B0000SX2UC,"Dual-Band / Tri-Mode Sprint PCS Phone w/ Voice Activated Dialing & Bright White Backlit Screen",13
B001AO4OUC,"Motorola i335 Cell Phone Boost Mobile",12
B001DCJAJG,"Motorola V365 no contract cellular phone AT&T",5
B001GQ3DJM,"Nokia 1680 Black Phone (T-Mobile)",2
B0029X7UHC,"Motorola I205 cell phone nextel/Boost",1
B002AS9WEA,"Samsung a167 Prepaid GoPhone (AT&T)",10
B002UHS0UI,"Verizon Wireless Motorola RAZR V3m - Silver",135
B003FCO9XE,"Samsung Smooth Verizon Wireless Prepaid Mobile Cell Camera Phone CDMA",52
B003MW0OIQ,"Samsung a107 Prepaid GoPhone (AT&T)",52
B003XREZ4O,"Samsung Gusto, Black (Verizon Wireless)",13
B004C7NVD0,"Samsung Convoy SCH-U640 Cell Phone Ruggedized PTT 2+ megapixel Camera for Verizon",15
B004GLQTG8,"Samsung R355C Net 10 Unlimited",72
B004H23JXW,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",119
B004UVR9A4,"Samsung Factor Prepaid Phone (Boost Mobile)",34
B004YBP8EY,"Samsung SA-S5260WESP Cellphone - Unlocked Phone - US Warranty - White",13
B0052OL576,"Motorola Clutch i475 Prepaid Phone (Boost Mobile)",8
B005JGSVCE,"Verizon or PagePlus amsung Haven U320 CDMA Cell Phone Dark Grey New No Contract",54
B005WJJKE6,"Huawei Pinnacle Prepaid Phone (MetroPCS)",20
B006OU39QW,"Verizon Samsung Convoy U660 No Contract Rugged PTT Cell Phone Grey Verizon",93
B006VH79R8,"Samsung Replenish Prepaid Android Phone (Boost Mobile)",34
B00727AODC,"Samsung Focus Flash I677 8GB Unlocked GSM Phone with Windows 7.5 OS, 5MP Camera, GPS, Wi-Fi, Bluetooth and FM Radio - Black",39
B007LU0HU0,"Samsung Replenish SPH-M580 Blue No Contract Sprint Cell Phone",8
B007P736SE,"Samsung Focus i917 GSM 3G Windows Phone 7 Smartphone AT&T New",8
B007X6FFLS,"Samsung a157 GoPhone (AT&T)",128
B008FRL6VC,"Samsung Convoy 2 U660 Verizon CDMA Flip Cell Phone - Black",13
B008P2SUEI,"Samsung Entro Mobile Phone Black | Virgin Mobile",84
B008PAW5EQ,"Samsung U365 Gusto 2 Prepaid Phone (Verizon Wireless, Prepaid)",38
B0096DERAG,"Motorola MC75A Hand Held Computer Windows Mobile 6.5 MC75A8-PYFSWQRA9WR",1
B0096QYH80,"Motorola Droid RAZR M XT907 Verizon Wireless, 8GB, White",179
B009ZC91AY,"Nokia Lumia 920 32GB Unlocked 4G LTE Windows Smartphone w/ PureView Technology 8MP Camera - Black",53
B00A408AF8,"Samsung Galaxy Express, Gray 8GB (AT&T)",8
B00A7F57EM,"Nokia Lumia 822 16GB Windows Phone Black - Verizon",34
B00ACZ0DUA,"Nokia Lumia 920 32GB Unlocked GSM Windows 8 Smartphone w/ Carl Zeiss Optics Camera - Yellow",30
B00B2BYU1Q,"Nokia Lumia 920 32GB Unlocked GSM 4G LTE Windows 8 Smartphone - Red",184
B00B5081MI,"Samsung A157 Unlocked GSM Cell Phone with Internet Browser, 3G Capabilities, SMS & MMS and Speakerphone - Black",24
B00B6SFDHK,"Motorola Droid RAZR HD 16GB XT926 Black - Verizon",60
B00CIF9MJK,"Samsung Galaxy S4 i9500 Factory Unlocked Cellphone, International Version, 16GB, Black",8
B00CKUH92A,"Nokia Lumia 520 Unlocked GSM Windows 8 Touchscreen Smartphone - Yellow",12
B00CQAOIIC,"Nokia Lumia 928, Black 32GB (Verizon Wireless)",200
B00CS2ZWKQ,"Nokia Lumia 925 (RM-893) 4G LTE Windows 8 Smartphone GSM Unlocked",61
