"asin";"name";"rating";"date";"verified";"helpfulVotes"
"B0000SX2UC";"Janet";3;"11-Oct-05";"FALSE";1
"B0000SX2UC";"Luke Wyatt";1;"07-Jan-04";"FALSE";17
"B0000SX2UC";"Brooke";5;"30-Dec-03";"FALSE";5
"B0000SX2UC";"amy m. teague";3;"18-Mar-04";"FALSE";1
"B0000SX2UC";"tristazbimmer";4;"28-Aug-05";"FALSE";1
"B0000SX2UC";"the cell phone store owner";5;"16-Apr-04";"FALSE";2
"B0000SX2UC";"Matt";4;"03-Apr-04";"FALSE";2
"B0000SX2UC";"Charles Cook";5;"24-Nov-03";"FALSE";7
"B0000SX2UC";"Amazon Customer";3;"02-Feb-04";"FALSE";3
"B0000SX2UC";"habblie";4;"25-Dec-04";"FALSE";1
"B0000SX2UC";"Zachary O. Toups";1;"29-Nov-04";"FALSE";4
"B0000SX2UC";"EYS";2;"08-Sep-04";"FALSE";5
"B0000SX2UC";"brittho";4;"17-Aug-04";"FALSE";1
"B001AO4OUC";"Elizabeth";4;"12-May-09";"TRUE";1
"B001AO4OUC";"Ron Malinowski, Jr.";1;"19-Nov-12";"TRUE";1
"B001AO4OUC";"PENNY";4;"25-Nov-12";"TRUE";1
"B001AO4OUC";"Anthony L. Savarese";1;"18-Oct-09";"TRUE";1
"B001AO4OUC";"Yoda";4;"07-Apr-10";"FALSE";2
"B001AO4OUC";"MayaMan";1;"13-Apr-11";"FALSE";1
"B001AO4OUC";"Butch";5;"13-Aug-09";"FALSE";12
"B001AO4OUC";"Palamabron";1;"01-Sep-11";"FALSE";2
"B001AO4OUC";"jncti";1;"30-Jun-10";"FALSE";3
"B001AO4OUC";"monira ardell";5;"02-Oct-09";"FALSE";1
"B001AO4OUC";"C. YOUNG";1;"03-Aug-09";"FALSE";1
"B001AO4OUC";"M. reyeshernandez";5;"02-Aug-09";"FALSE";1
"B001DCJAJG";"Kindle Customer";4;"22-Jun-14";"TRUE";2
"B001DCJAJG";"poppamiller";5;"24-Jul-12";"TRUE";1
"B001DCJAJG";"Brenda W.";3;"12-Sep-13";"TRUE";1
"B001DCJAJG";"Teresa Dickson";5;"05-Jun-13";"TRUE";2
"B001DCJAJG";"elephant";1;"07-Aug-12";"TRUE";1
"B001GQ3DJM";"Nathan Gaida";3;"18-Nov-08";"FALSE";2
"B001GQ3DJM";"AM Radio";4;"21-Dec-08";"FALSE";4
"B0029X7UHC";"Pen Name";1;"30-Nov-13";"FALSE";2
"B002AS9WEA";"wakajawaka";1;"20-Aug-13";"TRUE";3
"B002AS9WEA";"Teresa M Smith";4;"10-Oct-12";"TRUE";2
"B002AS9WEA";"Jeanette Ames";5;"15-Apr-14";"TRUE";1
"B002AS9WEA";"Tweeds";1;"02-Jan-11";"TRUE";3
"B002AS9WEA";"Wendy G";4;"27-Nov-09";"FALSE";23
"B002AS9WEA";"SY";5;"16-Aug-09";"FALSE";26
"B002AS9WEA";"Camry Man";3;"13-Nov-09";"FALSE";11
"B002AS9WEA";"Timothy P. Elliott";2;"13-Jun-10";"FALSE";1
"B002AS9WEA";"Cynthia McGill";1;"08-Jul-15";"TRUE";1
"B002AS9WEA";"K, C, and little J";3;"24-Sep-10";"TRUE";4
"B002UHS0UI";"Joyful";3;"25-Aug-16";"TRUE";24
"B002UHS0UI";"Andrew";4;"14-Feb-15";"TRUE";4
"B002UHS0UI";"LINDA PETRONGELLI";5;"14-Aug-15";"TRUE";2
"B002UHS0UI";"Chanelle Williams";1;"08-Dec-18";"TRUE";1
"B002UHS0UI";"Robin Woodel";3;"22-Dec-15";"TRUE";3
"B002UHS0UI";"Victor";5;"12-Mar-18";"TRUE";1
"B002UHS0UI";"1111";1;"06-Aug-13";"TRUE";3
"B002UHS0UI";"Kasie B";1;"03-Jun-16";"TRUE";1
"B002UHS0UI";"Amazon Customer";3;"15-Jun-14";"TRUE";1
"B002UHS0UI";"T DOSS";1;"05-Jan-17";"TRUE";2
"B002UHS0UI";"Fred Farrokhi";1;"09-Mar-13";"TRUE";10
"B002UHS0UI";"mom of many";5;"17-Apr-13";"TRUE";1
"B002UHS0UI";"Beth and Bri";4;"01-Mar-17";"TRUE";1
"B002UHS0UI";"George";5;"07-Mar-13";"TRUE";4
"B002UHS0UI";"Hana Alyssa Sidia";1;"29-Sep-17";"TRUE";1
"B002UHS0UI";"jamestown1";3;"15-May-13";"TRUE";1
"B002UHS0UI";"Jo Ketner";5;"23-Aug-13";"TRUE";1
"B002UHS0UI";"Mireya R.";1;"12-Apr-17";"TRUE";1
"B002UHS0UI";"Cynthia Lewis";4;"26-Apr-13";"TRUE";3
"B002UHS0UI";"Jim Cunningham";1;"08-Jun-15";"TRUE";3
"B002UHS0UI";"stephanie";2;"10-Jan-14";"TRUE";1
"B002UHS0UI";"TR2011";1;"04-Oct-11";"TRUE";1
"B002UHS0UI";"Geneva Kervin";5;"01-Apr-14";"TRUE";4
"B002UHS0UI";"Wordsworth49";4;"13-Aug-11";"TRUE";4
"B002UHS0UI";"peter t. grillo";1;"19-Mar-13";"TRUE";1
"B002UHS0UI";"George Heindel";4;"17-Apr-13";"TRUE";1
"B002UHS0UI";"Greta Jeska";1;"11-Jan-14";"TRUE";1
"B002UHS0UI";"TK";4;"23-Apr-13";"TRUE";1
"B002UHS0UI";"yezenia04";1;"23-Oct-12";"TRUE";3
"B002UHS0UI";"Dan J. Graber";5;"19-Aug-14";"TRUE";1
"B002UHS0UI";"Lacey Sue";1;"09-Sep-14";"TRUE";1
"B002UHS0UI";"BD";5;"19-Oct-14";"TRUE";1
"B002UHS0UI";"Paul";5;"26-Sep-14";"TRUE";1
"B002UHS0UI";"H Ludwig";2;"09-Nov-13";"TRUE";1
"B002UHS0UI";"Thomas H. Page";5;"19-Aug-13";"TRUE";1
"B002UHS0UI";"Jkim";1;"14-Jan-15";"TRUE";1
"B002UHS0UI";"E. Salcido";1;"30-Dec-13";"TRUE";1
"B002UHS0UI";"melbod68";3;"09-Jul-13";"TRUE";1
"B002UHS0UI";"Patricia K. Bolen";3;"14-Nov-13";"TRUE";1
"B002UHS0UI";"Tom";5;"21-Aug-11";"TRUE";8
"B002UHS0UI";"Arne J Vanleuken";1;"29-Feb-12";"TRUE";1
"B002UHS0UI";"Timothy J Wagner";2;"06-Jul-13";"TRUE";1
"B002UHS0UI";"Kathleen Dennis";2;"02-Oct-14";"TRUE";1
"B002UHS0UI";"Gerard";1;"13-Sep-14";"TRUE";1
"B002UHS0UI";"Tyler";4;"04-May-13";"TRUE";2
"B002UHS0UI";"Nancy S.";1;"28-Aug-14";"TRUE";1
"B002UHS0UI";"Amazon Customer";1;"21-Dec-11";"TRUE";1
"B002UHS0UI";"Michele Wong";5;"22-Oct-14";"TRUE";1
"B002UHS0UI";"ciajo";2;"28-Feb-12";"TRUE";1
"B002UHS0UI";"Bonpooh";5;"21-Aug-13";"TRUE";1
"B002UHS0UI";"MEL KING";1;"21-Jan-14";"TRUE";1
"B002UHS0UI";"Cleveland Mc Daniel";1;"14-Jan-14";"TRUE";1
"B002UHS0UI";"marvin frazier";1;"13-Jul-14";"TRUE";2
"B002UHS0UI";"Nurse79";4;"06-Nov-13";"TRUE";2
"B002UHS0UI";"Wilderness Folk";5;"05-Mar-13";"TRUE";1
"B002UHS0UI";"Philia";5;"20-Nov-14";"TRUE";1
"B002UHS0UI";"Kklia28";3;"02-Oct-13";"TRUE";2
"B002UHS0UI";"Bruce Schneider";5;"23-Feb-12";"TRUE";3
"B002UHS0UI";"Kindle Customer";1;"30-Jan-13";"TRUE";1
"B002UHS0UI";"Paul James Martin";5;"11-Oct-13";"TRUE";1
"B002UHS0UI";"David Pickard";1;"10-Jul-14";"TRUE";2
"B002UHS0UI";"Bill Armstrong";5;"02-Feb-14";"TRUE";1
"B002UHS0UI";"Debbie Rosenbaum";1;"13-Jun-13";"TRUE";1
"B002UHS0UI";"J.ORiley";5;"30-Aug-14";"TRUE";1
"B002UHS0UI";"Beronica Lujan";4;"30-Jun-14";"TRUE";1
"B002UHS0UI";"Christina Williams";1;"20-May-15";"TRUE";1
"B002UHS0UI";"farmgirl";1;"05-Nov-11";"TRUE";10
"B002UHS0UI";"Molly";2;"09-Feb-11";"TRUE";6
"B002UHS0UI";"jolischmidt";1;"30-Nov-14";"TRUE";1
"B002UHS0UI";"Amazon Customer";5;"20-Apr-17";"TRUE";1
"B002UHS0UI";"Janice Coolidge";1;"10-Apr-13";"TRUE";2
"B002UHS0UI";"Amazon Customer";1;"26-Oct-16";"TRUE";1
"B002UHS0UI";"marissa pattea";1;"08-Oct-13";"TRUE";1
"B002UHS0UI";"Shanna";1;"13-Dec-10";"TRUE";6
"B002UHS0UI";"Joel";5;"19-Feb-12";"TRUE";14
"B002UHS0UI";"Stephen";5;"23-May-12";"FALSE";37
"B002UHS0UI";"C";5;"30-Jun-18";"FALSE";1
"B002UHS0UI";"RON";2;"25-Apr-14";"FALSE";1
"B002UHS0UI";"txgemini";2;"17-Sep-11";"FALSE";1
"B002UHS0UI";"sweetpea";1;"26-Nov-13";"FALSE";5
"B002UHS0UI";"Shelby";1;"27-Jul-14";"FALSE";1
"B002UHS0UI";"Tiphanyrenee";3;"13-Dec-10";"FALSE";6
"B002UHS0UI";"Iceman";1;"11-Jun-13";"FALSE";1
"B002UHS0UI";"Buddy Norris";1;"27-Dec-12";"FALSE";1
"B002UHS0UI";"Sally Barnaby";5;"09-Oct-14";"FALSE";1
"B002UHS0UI";"Monica";5;"26-Jan-10";"FALSE";12
"B002UHS0UI";"M. Gruber";5;"30-Sep-16";"TRUE";7
"B002UHS0UI";"Eric";1;"07-Apr-13";"TRUE";3
"B002UHS0UI";"JED";5;"12-Sep-11";"TRUE";28
"B002UHS0UI";"Niccigogo";5;"02-Oct-13";"TRUE";1
"B002UHS0UI";"Nancy";3;"15-May-13";"TRUE";1
"B002UHS0UI";"Jason";2;"01-Sep-13";"TRUE";1
"B002UHS0UI";"MDB";1;"03-Jan-13";"TRUE";2
"B002UHS0UI";"Jorolan";5;"24-Sep-14";"TRUE";1
"B002UHS0UI";"Roger Williams";2;"18-Sep-11";"TRUE";10
"B002UHS0UI";"Tanya Fraser";5;"06-Dec-12";"TRUE";1
"B002UHS0UI";"Mishell Magnusson";5;"28-Dec-12";"TRUE";1
"B002UHS0UI";"Claudio S";5;"24-Jan-13";"TRUE";1
"B002UHS0UI";"Tom";5;"09-Aug-13";"TRUE";1
"B002UHS0UI";"Kathe";4;"16-Feb-13";"TRUE";1
"B002UHS0UI";"Kindle Customer";5;"28-Jul-14";"TRUE";1
"B002UHS0UI";"Robert John Mathiasen";5;"12-Sep-14";"TRUE";1
"B002UHS0UI";"Kittymom";1;"14-Jul-14";"TRUE";2
"B002UHS0UI";"Your Profile is Loading...";5;"29-Aug-16";"TRUE";1
"B002UHS0UI";"LaToya";5;"22-Oct-13";"TRUE";10
"B002UHS0UI";"Yvonne";1;"05-Apr-14";"TRUE";2
"B002UHS0UI";"Timothy E. Winsley";5;"21-Jan-13";"TRUE";1
"B002UHS0UI";"review stl";3;"26-Jun-13";"TRUE";1
"B002UHS0UI";"Stephen W. Bartlett";5;"23-Dec-13";"TRUE";1
"B002UHS0UI";"PuppyBear";5;"09-Feb-13";"TRUE";2
"B002UHS0UI";"T. Folsom";2;"16-Jun-14";"TRUE";1
"B002UHS0UI";"Eric Uhde";5;"13-Oct-12";"TRUE";2
"B002UHS0UI";"Bobbie Shackelford";5;"19-Jan-14";"TRUE";1
"B002UHS0UI";"alex williamson";4;"30-Jul-13";"TRUE";1
"B002UHS0UI";"cm";4;"07-Jun-17";"TRUE";1
"B002UHS0UI";"Hermit";5;"08-May-12";"TRUE";3
"B002UHS0UI";"Devon";4;"26-Sep-16";"TRUE";1
"B002UHS0UI";"John";5;"23-Dec-12";"TRUE";1
"B002UHS0UI";"KParr";5;"24-Feb-14";"TRUE";2
"B002UHS0UI";"pete kubena";5;"25-Sep-11";"TRUE";1
"B002UHS0UI";"JOSEPH J YANNUZZO";3;"20-May-17";"TRUE";2
"B002UHS0UI";"Ruth Mclaughlin";4;"25-Aug-13";"TRUE";1
"B002UHS0UI";"Theresa B Lars";4;"04-Sep-13";"TRUE";1
"B002UHS0UI";"brent ja goebel";3;"22-Feb-13";"TRUE";1
"B002UHS0UI";"J. Bock";4;"25-Dec-13";"TRUE";1
"B002UHS0UI";"Amazon Customer";1;"01-Apr-11";"TRUE";4
"B002UHS0UI";"Laurie Queen";1;"10-Apr-18";"TRUE";1
"B002UHS0UI";"Lyman B. Cook";5;"04-Jun-11";"TRUE";3
"B002UHS0UI";"Howard B. Klinek";3;"13-Aug-12";"TRUE";2
"B002UHS0UI";"L. ODELL";4;"11-Dec-12";"TRUE";1
"B002UHS0UI";"John Goodwin";5;"02-Sep-11";"TRUE";3
"B002UHS0UI";"anna s";1;"19-Feb-14";"TRUE";1
"B002UHS0UI";"cjacobs";1;"07-Sep-10";"TRUE";7
"B002UHS0UI";"Roger Williams";2;"18-Sep-11";"FALSE";35
"B002UHS0UI";"David";5;"10-Aug-14";"FALSE";1
"B003FCO9XE";"Desert Dasey";3;"20-Nov-12";"TRUE";7
"B003FCO9XE";"Meganers";5;"23-Nov-12";"TRUE";6
"B003FCO9XE";"Lindiblu";4;"15-Sep-13";"TRUE";1
"B003FCO9XE";"James L Wolcott";5;"04-Dec-12";"TRUE";4
"B003FCO9XE";"JHB";4;"21-Nov-13";"TRUE";1
"B003FCO9XE";"Tiffany";4;"22-Apr-13";"TRUE";1
"B003FCO9XE";"Jeffrey M. Craver";5;"11-Jan-13";"TRUE";1
"B003FCO9XE";"BRYANT";5;"07-Mar-13";"TRUE";1
"B003FCO9XE";"Sk8rBoi";4;"02-Sep-12";"TRUE";1
"B003FCO9XE";"Explore";5;"28-Feb-13";"TRUE";1
"B003FCO9XE";"TCL";1;"28-Oct-13";"TRUE";1
"B003FCO9XE";"Kindle Customer";1;"25-Feb-13";"TRUE";1
"B003FCO9XE";"JB";5;"31-May-12";"TRUE";2
"B003FCO9XE";"waka";1;"23-Jan-11";"TRUE";2
"B003FCO9XE";"jim";2;"15-Nov-10";"TRUE";57
"B003FCO9XE";"Rocky Overson";1;"24-May-13";"TRUE";1
"B003FCO9XE";"ronny";1;"08-Jul-12";"TRUE";2
"B003FCO9XE";"Richard D. Woodbine";1;"09-Jan-13";"TRUE";1
"B003FCO9XE";"Sher";5;"03-Jul-10";"TRUE";2
"B003FCO9XE";"K. Cole";4;"09-Dec-10";"FALSE";36
"B003FCO9XE";"A techno geek";1;"22-Nov-10";"FALSE";18
"B003FCO9XE";"Kendra Howard";5;"31-Oct-11";"FALSE";18
"B003FCO9XE";"Reterg321";3;"10-Sep-12";"FALSE";3
"B003FCO9XE";"Rachel";5;"23-Apr-12";"FALSE";2
"B003FCO9XE";"Bob_Akron";5;"15-Aug-10";"FALSE";6
"B003FCO9XE";"Lindsay";5;"17-Feb-13";"FALSE";1
"B003FCO9XE";"Bonnie Nicholls";3;"22-Apr-10";"FALSE";4
"B003FCO9XE";"Rick Russell";4;"11-Jul-13";"TRUE";3
"B003FCO9XE";"mybearwinner";1;"16-Jan-14";"TRUE";1
"B003FCO9XE";"dawn";5;"29-Jun-13";"TRUE";1
"B003FCO9XE";"davidlewis7";5;"30-Jun-13";"TRUE";1
"B003FCO9XE";"john bullock";3;"04-May-13";"TRUE";2
"B003FCO9XE";"kindlecaretoday";5;"10-Dec-12";"TRUE";2
"B003FCO9XE";"Amazon Customer";5;"23-Apr-13";"TRUE";1
"B003FCO9XE";"Henry Smolinski";5;"21-Aug-13";"TRUE";1
"B003FCO9XE";"rabbit007";2;"19-Jan-13";"TRUE";2
"B003FCO9XE";"Bertha Byrd";3;"28-Oct-13";"TRUE";1
"B003FCO9XE";"Jordan";1;"22-Nov-14";"TRUE";1
"B003FCO9XE";"Ronnie Storch";5;"26-Nov-12";"TRUE";2
"B003FCO9XE";"Jennifer Hubble";4;"09-May-13";"TRUE";1
"B003FCO9XE";"Michael Stooksbury";2;"20-Jan-13";"TRUE";2
"B003FCO9XE";"brian rodriguez";1;"11-Jun-13";"TRUE";1
"B003FCO9XE";"jim dandy";1;"13-Jun-13";"TRUE";1
"B003FCO9XE";"SJ";3;"23-Feb-13";"TRUE";1
"B003FCO9XE";"Tamar";3;"01-Mar-12";"TRUE";1
"B003FCO9XE";"aggie";5;"09-Sep-10";"TRUE";2
"B003FCO9XE";"Jesse R";5;"07-May-11";"FALSE";7
"B003FCO9XE";"Mary";2;"03-Dec-13";"FALSE";1
"B003FCO9XE";"Knitty";2;"20-Aug-10";"FALSE";15
"B003FCO9XE";"Crystal A Johnson";5;"25-Sep-12";"FALSE";4
"B003FCO9XE";"Quinzy";1;"19-May-12";"FALSE";1
"B003FCO9XE";"Greg";1;"30-May-11";"FALSE";4
"B003MW0OIQ";"Amazon Customer";3;"24-Jun-11";"TRUE";25
"B003MW0OIQ";"partygrrrl";5;"22-May-13";"TRUE";2
"B003MW0OIQ";"Mack";1;"19-May-19";"TRUE";1
"B003MW0OIQ";"ZLZ";4;"03-May-11";"TRUE";6
"B003MW0OIQ";"lele";3;"10-Feb-12";"TRUE";1
"B003MW0OIQ";"kornishon";4;"26-Feb-11";"TRUE";1
"B003MW0OIQ";"cha_maco";1;"28-Oct-12";"TRUE";1
"B003MW0OIQ";"Jay Johnson";1;"06-May-12";"TRUE";1
"B003MW0OIQ";"me";3;"18-Jul-11";"TRUE";2
"B003MW0OIQ";"joe";5;"07-Dec-11";"TRUE";1
"B003MW0OIQ";"Patti";5;"28-Feb-11";"TRUE";5
"B003MW0OIQ";"Jacqueline Galston";1;"05-Oct-13";"TRUE";1
"B003MW0OIQ";"laurie220";1;"26-Feb-13";"TRUE";1
"B003MW0OIQ";"VG";1;"10-Dec-12";"TRUE";1
"B003MW0OIQ";"BUZZCRUSH";1;"30-Aug-11";"TRUE";4
"B003MW0OIQ";"doublenerds";1;"24-Apr-11";"TRUE";46
"B003MW0OIQ";"Ulrich Stern";3;"11-Nov-10";"TRUE";45
"B003MW0OIQ";"M Elvey";3;"12-Nov-11";"FALSE";2
"B003MW0OIQ";"Sky Pilot";5;"11-Feb-12";"FALSE";2
"B003MW0OIQ";"G. Ware Cornell Jr.";4;"28-Mar-11";"FALSE";50
"B003MW0OIQ";"M. Stine";1;"30-Mar-11";"FALSE";3
"B003MW0OIQ";"Steven A. Mattison";2;"09-May-11";"FALSE";2
"B003MW0OIQ";"cody";1;"26-Jan-14";"FALSE";3
"B003MW0OIQ";"Vidya";1;"09-Aug-12";"FALSE";1
"B003MW0OIQ";"aurora777";5;"12-Jun-12";"FALSE";3
"B003MW0OIQ";"Lucy06";4;"28-Feb-12";"FALSE";1
"B003MW0OIQ";"Slim Chance";1;"27-Jul-11";"FALSE";4
"B003MW0OIQ";"Vasant";3;"24-Sep-11";"FALSE";1
"B003MW0OIQ";"GATADIESEL";5;"07-Jun-12";"TRUE";6
"B003MW0OIQ";"Robert";5;"14-Jan-12";"TRUE";2
"B003MW0OIQ";"Willie B. Underwood";1;"20-Oct-13";"TRUE";2
"B003MW0OIQ";"J.R. Bryan";3;"25-Jun-12";"TRUE";2
"B003MW0OIQ";"Joe Gump";5;"25-Aug-11";"TRUE";1
"B003MW0OIQ";"Bristle";5;"15-May-12";"TRUE";1
"B003MW0OIQ";"Donna J Ashley";3;"10-Sep-11";"TRUE";2
"B003MW0OIQ";"Kindle Customer";1;"24-Dec-12";"TRUE";1
"B003MW0OIQ";"John";1;"16-Jul-11";"TRUE";6
"B003MW0OIQ";"N. Frees";1;"23-Jul-12";"TRUE";1
"B003MW0OIQ";"Jill E. Hoyt";5;"16-Mar-11";"TRUE";1
"B003MW0OIQ";"Craig Hamilton";3;"19-Feb-12";"FALSE";1
"B003MW0OIQ";"Federico Creatini";4;"08-Feb-11";"FALSE";69
"B003MW0OIQ";"SavvyShopper";5;"20-Dec-12";"FALSE";1
"B003MW0OIQ";"L. A. Washburn";1;"15-Sep-13";"FALSE";1
"B003MW0OIQ";"Paul";1;"16-Aug-11";"FALSE";8
"B003MW0OIQ";"R. Lee";2;"23-Dec-12";"FALSE";1
"B003MW0OIQ";"bargain_city_kid";1;"29-Aug-13";"FALSE";1
"B003MW0OIQ";"John Hudson";4;"09-Feb-12";"FALSE";1
"B003MW0OIQ";"Joshua Lake";1;"21-Mar-12";"FALSE";1
"B003MW0OIQ";"Reviewer";5;"21-May-12";"FALSE";2
"B003MW0OIQ";"rujeania mosley";5;"23-Aug-13";"FALSE";1
"B003MW0OIQ";"C. Hughes";1;"18-Nov-11";"FALSE";1
"B003MW0OIQ";"tbear29720";1;"26-Dec-11";"FALSE";1
"B003XREZ4O";"justme";3;"23-Jun-11";"FALSE";22
"B003XREZ4O";"D. Goddard";2;"19-Sep-11";"FALSE";10
"B003XREZ4O";"Jodi E. Mcclain";1;"26-Jan-12";"FALSE";2
"B003XREZ4O";"redhead522";2;"10-Apr-12";"FALSE";3
"B003XREZ4O";"Melissa B";2;"28-Oct-10";"FALSE";4
"B003XREZ4O";"M. Swanson";2;"14-Oct-11";"FALSE";2
"B003XREZ4O";"Stepahnie Magnan";1;"12-Nov-10";"FALSE";14
"B003XREZ4O";"cwintempe";2;"10-Oct-10";"FALSE";5
"B003XREZ4O";"Anonymous_me";1;"24-Apr-12";"FALSE";2
"B003XREZ4O";"Andrew Chaplowitz";2;"07-Feb-11";"FALSE";9
"B003XREZ4O";"PatG";3;"28-May-11";"FALSE";2
"B003XREZ4O";"Maya's Dad";1;"20-Oct-11";"FALSE";3
"B003XREZ4O";"Eclectic Reader";3;"05-Sep-10";"FALSE";6
"B004C7NVD0";"Amazon Customer";5;"06-Aug-17";"TRUE";5
"B004C7NVD0";"dogwood";2;"25-Aug-14";"TRUE";11
"B004C7NVD0";"Loren";5;"11-Apr-14";"TRUE";11
"B004C7NVD0";"D. scott";5;"05-Nov-16";"TRUE";2
"B004C7NVD0";"HappyDays";3;"18-Dec-13";"TRUE";3
"B004C7NVD0";"Daniel Y.";4;"05-Jan-15";"TRUE";6
